,Unnamed: 0,city,state,walk_score,transit_score,bike_score,population
4,26,Fresno,CA,46.6,33.1,58.1,"494,665"
8,30,Bakersfield,CA,37.3,24.6,43.7,"347,483"
11,33,Riverside,CA,42.7,29.9,48.9,"303,871"
12,34,Stockton,CA,43.7,25.4,52.4,"291,707"
13,35,Chula Vista,CA,45.6,35.4,41.2,"243,916"
15,37,Irvine,CA,43.2,25.7,69.5,"212,375"
16,38,San Bernardino,CA,45.0,30.9,43.6,"209,924"
25,47,Phoenix,AZ,41.4,35.6,55.9,"1,445,632"
26,48,Tucson,AZ,43.2,34.5,66.3,"520,116"
27,49,Mesa,AZ,37.9,27.0,59.6,"439,041"
28,50,Chandler,AZ,35.4,24.4,55.4,"236,123"
29,51,Glendale,AZ,40.2,33.5,56.5,"226,721"
30,52,Scottsdale,AZ,31.9,23.3,56.4,"217,385"
31,53,Gilbert,AZ,29.0,15.1,52.6,"208,453"
33,55,Baton Rouge,LA,39.1,--,44.3,"229,493"
34,56,Jacksonville,FL,25.6,20.8,40.5,"821,784"
37,59,St. Petersburg,FL,43.0,33.5,58.5,"244,769"
38,60,Orlando,FL,41.1,32.7,56.8,"238,300"
40,62,Kansas City,MO,35.3,25.5,35.0,"459,787"
42,64,Atlanta,GA,47.7,43.7,41.7,"420,003"
43,65,Virginia Beach,VA,33.1,20.7,41.7,"437,994"
44,66,Norfolk,VA,45.8,35.7,46.9,"242,803"
45,67,Chesapeake,VA,21.3,13.9,34.7,"222,209"
50,72,Columbus,OH,41.2,30.2,47.7,"787,033"
53,75,Toledo,OH,46.4,--,45.6,"287,208"
54,76,Houston,TX,47.5,36.2,48.6,"2,099,451"
55,77,San Antonio,TX,36.9,30.9,44.5,"1,327,407"
56,78,Dallas,TX,46.0,38.9,49.3,"1,197,816"
57,79,Austin,TX,41.7,34.8,54.0,"790,390"
58,80,Fort Worth,TX,34.9,21.6,38.6,"741,206"
59,81,El Paso,TX,40.4,28.0,42.0,"649,121"
60,82,Arlington,TX,38.1,0.3,39.5,"365,438"
61,83,Corpus Christi,TX,40.3,26.6,42.1,"305,215"
62,84,Plano,TX,40.5,14.8,52.0,"259,841"
63,85,Laredo,TX,36.8,--,39.6,"236,091"
64,86,Lubbock,TX,39.0,20.6,42.5,"229,573"
65,87,Garland,TX,40.2,29.2,40.6,"226,876"
66,88,Irving,TX,44.8,28.7,42.0,"216,290"
67,89,Oklahoma City,OK,34.1,16.9,40.2,"579,999"
68,90,Tulsa,OK,39.0,22.7,47.2,"391,906"
69,91,Birmingham,AL,33.2,21.5,30.7,"212,237"
70,92,Montgomery,AL,25.8,16.4,32.9,"205,764"
72,94,Colorado Springs,CO,36.1,18.8,44.7,"416,427"
73,95,Aurora,CO,42.5,35.2,53.3,"325,078"
74,96,Indianapolis,IN,31.0,24.9,42.8,"820,445"
75,97,Fort Wayne,IN,31.7,21.7,41.0,"253,691"
76,98,Charlotte,NC,26.4,27.4,31.3,"731,424"
77,99,Raleigh,NC,31.3,29.4,39.3,"403,892"
78,100,Greensboro,NC,29.4,--,32.2,"269,666"
79,101,Winston-Salem,NC,22.5,--,29.2,"229,617"
80,102,Durham,NC,30.3,27.5,37.6,"228,330"
81,103,Fayetteville,NC,21.4,--,29.7,"200,564"
88,110,Memphis,TN,35.0,22.2,41.2,"646,889"
89,111,Nashville-Davidson,TN,28.8,21.7,29.7,"601,222"
90,112,Des Moines,IA,45.0,30.1,39.4,"203,433"
91,113,Louisville-Jefferson,KY,34.3,27.3,43.3,"597,337"
92,114,Lexington-Fayette,KY,34.3,26.6,45.7,"295,803"
94,116,Las Vegas,NV,42.0,35.5,46.5,"583,756"
95,117,Henderson,NV,30.0,24.6,43.5,"257,729"
96,118,Reno,NV,40.2,24.2,52.0,"225,221"
98,120,North Las Vegas,NV,33.7,33.3,48.5,"216,961"
102,124,Lincoln,NE,44.1,24.3,58.5,"258,379"
103,125,Wichita,KS,34.8,19.7,43.9,"382,368"
104,126,Anchorage,AK,30.9,21.6,51.8,"291,826"
105,127,Boise City,ID,38.5,22.6,62.3,"205,671"
106,128,Albuquerque,NM,42.6,28.6,60.9,"545,852"
