,Unnamed: 0,city,state,walk_score,transit_score,bike_score,population
22,22,Los Angeles,CA,68.6,52.9,58.7,"3,792,621"
23,23,San Diego,CA,53.3,37.3,43.0,"1,307,402"
24,24,San Jose,CA,50.5,40.1,61.5,"945,942"
25,25,San Francisco,CA,88.7,77.1,72.3,"805,235"
26,26,Fresno,CA,46.6,33.1,58.1,"494,665"
27,27,Sacramento,CA,49.0,33.9,66.9,"466,488"
28,28,Long Beach,CA,73.3,48.9,70.1,"462,257"
29,29,Oakland,CA,75.3,56.6,65.5,"390,724"
30,30,Bakersfield,CA,37.3,24.6,43.7,"347,483"
31,31,Anaheim,CA,55.7,33.9,52.3,"336,265"
32,32,Santa Ana,CA,67.1,43.3,62.2,"324,528"
33,33,Riverside,CA,42.7,29.9,48.9,"303,871"
34,34,Stockton,CA,43.7,25.4,52.4,"291,707"
35,35,Chula Vista,CA,45.6,35.4,41.2,"243,916"
36,36,Fremont,CA,49.9,36.3,54.4,"214,089"
37,37,Irvine,CA,43.2,25.7,69.5,"212,375"
38,38,San Bernardino,CA,45.0,30.9,43.6,"209,924"
39,39,Detroit,MI,51.1,35.7,52.1,"713,777"
40,40,Chicago,IL,77.2,65.0,72.2,"2,695,598"
41,41,Seattle,WA,74.4,59.6,71.1,"608,660"
42,42,Spokane,WA,49.2,36.0,52.1,"208,916"
43,43,Portland,OR,67.3,49.3,82.7,"583,776"
44,44,New York,NY,88.0,88.6,69.3,"8,175,133"
45,45,Buffalo,NY,66.6,47.5,62.8,"261,310"
46,46,Rochester,NY,60.7,41.3,59.9,"210,565"
47,47,Phoenix,AZ,41.4,35.6,55.9,"1,445,632"
48,48,Tucson,AZ,43.2,34.5,66.3,"520,116"
49,49,Mesa,AZ,37.9,27.0,59.6,"439,041"
50,50,Chandler,AZ,35.4,24.4,55.4,"236,123"
51,51,Glendale,AZ,40.2,33.5,56.5,"226,721"
52,52,Scottsdale,AZ,31.9,23.3,56.4,"217,385"
53,53,Gilbert,AZ,29.0,15.1,52.6,"208,453"
54,54,New Orleans,LA,58.0,43.9,65.7,"343,829"
55,55,Baton Rouge,LA,39.1,--,44.3,"229,493"
56,56,Jacksonville,FL,25.6,20.8,40.5,"821,784"
57,57,Miami,FL,76.6,57.0,64.0,"399,457"
58,58,Tampa,FL,49.5,31.3,55.2,"335,709"
59,59,St. Petersburg,FL,43.0,33.5,58.5,"244,769"
60,60,Orlando,FL,41.1,32.7,56.8,"238,300"
61,61,Hialeah,FL,67.9,39.0,50.6,"224,669"
62,62,Kansas City,MO,35.3,25.5,35.0,"459,787"
63,63,St. Louis,MO,65.7,42.6,57.7,"319,294"
64,64,Atlanta,GA,47.7,43.7,41.7,"420,003"
65,65,Virginia Beach,VA,33.1,20.7,41.7,"437,994"
66,66,Norfolk,VA,45.8,35.7,46.9,"242,803"
67,67,Chesapeake,VA,21.3,13.9,34.7,"222,209"
68,68,Arlington,VA,71.2,58.6,72.3,"207,627"
69,69,Richmond,VA,50.9,--,50.8,"204,214"
70,70,Baltimore,MD,64.3,53.2,53.4,"620,961"
71,71,Boston,MA,82.8,72.4,69.4,"617,594"
72,72,Columbus,OH,41.2,30.2,47.7,"787,033"
73,73,Cleveland,OH,57.1,43.9,52.3,"396,815"
74,74,Cincinnati,OH,49.1,44.1,35.6,"296,943"
75,75,Toledo,OH,46.4,--,45.6,"287,208"
76,76,Houston,TX,47.5,36.2,48.6,"2,099,451"
77,77,San Antonio,TX,36.9,30.9,44.5,"1,327,407"
78,78,Dallas,TX,46.0,38.9,49.3,"1,197,816"
79,79,Austin,TX,41.7,34.8,54.0,"790,390"
80,80,Fort Worth,TX,34.9,21.6,38.6,"741,206"
81,81,El Paso,TX,40.4,28.0,42.0,"649,121"
82,82,Arlington,TX,38.1,0.3,39.5,"365,438"
83,83,Corpus Christi,TX,40.3,26.6,42.1,"305,215"
84,84,Plano,TX,40.5,14.8,52.0,"259,841"
85,85,Laredo,TX,36.8,--,39.6,"236,091"
86,86,Lubbock,TX,39.0,20.6,42.5,"229,573"
87,87,Garland,TX,40.2,29.2,40.6,"226,876"
88,88,Irving,TX,44.8,28.7,42.0,"216,290"
89,89,Oklahoma City,OK,34.1,16.9,40.2,"579,999"
90,90,Tulsa,OK,39.0,22.7,47.2,"391,906"
91,91,Birmingham,AL,33.2,21.5,30.7,"212,237"
92,92,Montgomery,AL,25.8,16.4,32.9,"205,764"
93,93,Denver,CO,61.2,44.6,71.8,"600,158"
94,94,Colorado Springs,CO,36.1,18.8,44.7,"416,427"
95,95,Aurora,CO,42.5,35.2,53.3,"325,078"
96,96,Indianapolis,IN,31.0,24.9,42.8,"820,445"
